bnhm_id	ScientificName	ColloquialName	Kingdom	Phylum	Class	Subclass	Ordr	Suborder	Family	Superfamily	Subfamily	Tribe	Subtribe	Genus	Subgenus	SpecificEpithet	SubspecificEpithet	Taxon_Certainty	ScientificNameAuthor	IdentificationQualifier	IdentifiedBy	YearIdentified	MonthIdentified	DayIdentified	PreviousID	InstitutionCode	CollectionCode	CatalogNumberNumeric	AccessionNumber	Collector	Collector2	Collector3	Collector4	Collector5	CollectorNumber	YearCollected	MonthCollected	DayCollected	YearCollected2	MonthCollected2	DayCollected2	VerbatimCollectingLabel	VerbatimIDLabel	CollectingLabelNotes	TimeofDay	ContinentOcean	IslandGroup	Island	Country	StateProvince	County	Locality	DecimalLongitude	DecimalLatitude	HorizontalDatum	OriginalCoordSystem	VerbatimLongitude	VerbatimLatitude	MaxErrorInMeters	MinElevationMeters	MaxElevationMeters	ElevationText	MinDepthMeters	MaxDepthMeters	DepthText	GeorefReference	Lat_Long_Determined_By	Lat_Long_Determined_Date	GeorefRemarks	DateFirstEntered	EnteredBy	DateLastModified	ModifiedBy	ModifyReason	TypeStatus	Caste	LifeStage	IndividualCount	NumMales	NumFemales	NumOther	Parts	PreparationType	BasisOfRecord	Habitat	MicroHabitat	Associated_Taxon	Association_Type	OtherCatalogNumbers	RelatedCatalogItem	LoanNumber	Notes	DNASequenceNo	RecheckFlag	Collectors_Loc	Collectors_ID	HoldingInstitution	Coll_EventID	Collection_Method	parent_record	child_exists	ProjectName	
EMEC1000198	Lebia subdola		Animalia	Arthropoda	Insecta	Pterygota	Coleoptera	Adephaga	Carabidae		Lebiinae	Lebiini	Lebiina	Lebia		subdola			Madge, 1967		K. Will	2002				EMEC		1000198		B. Smith						2000	1	12								North America			United States	Arizona	Santa Cruz County	Patagonia Mountains, Sycamore Canyon	-110.75029	31.38159	WGS1984				2932.0000							GNIS+AcmeMapper+GeoLocate	Gordon M. Nishida	2014-07-10	Point placed at midpoint of linear element, error is half the extent	2013-03-08	Hoa Francisco Ngo	2014-07-15	Gordon M. Nishida					1					pin	PreservedSpecimen		debris											Essig Museum of Entomology						
EMEC1005260	Pterostichus lama		Animalia	Arthropoda	Insecta	Pterygota	Coleoptera	Adephaga	Carabidae		Pterostichinae	Pterostichini	Pterostichina	Pterostichus		lama			(Menetries, 1843)		K.Will					EMEC		1005260		Kipling Will	Wendy Moore					2000	7	8				38 20 10 N 119 38 44 W USA, California, Alpine Co. 1.3km nw Sonora Pass, 2882m el. 8:vii:2000, Colls. K.Will,W.Moore				North America			United States	California	Alpine County	Sonora Pass, 1.3 kilometers northwest of	-119.64436	38.33627	WGS1984		119 38 44 W	38 20 10 N	500.0000	2882.0000						GeoLocate	Gordon M. Nishida	2015-05-13	Road miles, error is approximated extent of pass	2006-04-04	Kipling Will	2015-05-10	Gordon M. Nishida					1					fluid	PreservedSpecimen					KWW001								Essig Museum of Entomology						
EMEC1005857	Pterostichus lama		Animalia	Arthropoda	Insecta	Pterygota	Coleoptera	Adephaga	Carabidae		Pterostichinae	Pterostichini	Pterostichina	Pterostichus		lama			(Menetries, 1843)		Will, K.	2011				EMEC		1005857								2000	7	9				Image	Pt. lama			North America			United States	California	Tuolumne County	Route 108, side road 1.2 miles west of Clark Fork Junction	-119.89780	38.34750	WGS1984		119 53 52 W	38 20 51 N	10.0000	1918.0000						original GPS	Kipling Will	2000-07-09		2011-12-05	Cindy Truong	2014-02-24	Kipling Will	Corrected by collector			adult	1	1				fluid	PreservedSpecimen												CAL09VII00.3	Essig Museum of Entomology						
EMEC1005881	Pterostichus hatchi		Animalia	Arthropoda	Insecta	Pterygota	Coleoptera	Adephaga	Carabidae		Pterostichinae	Pterostichini	Pterostichina	Pterostichus		hatchi			Hacker, 1968		Will, K.				Leptoferonia hatchi	EMEC		1005881		Kipling Will	W. Moore					2000	7	9				Label				North America			United States	California	Tuolumne County	Route 108, at Leland Meadow Road	-119.99170	38.22500	WGS1984		119 59 30 W	38 13 30 N	10.0000							From label	Cindy Truong	2000-07-09		2012-01-20	Cindy Truong							1					pin	PreservedSpecimen													Essig Museum of Entomology						
EMEC1011867	Tetragnatha sp.		Animalia	Arthropoda	Arachnida		Araneae		Tetragnathidae					Tetragnatha		sp.										EMEC		1011867		Miquel A. Arnedo						2000	4	28								Pacific Ocean	Hawaiian Islands	Kauai	United States	Hawaii	Kauai County	Makaleha Mountains	-159.41189	22.11762	WGS1984				1646.0000	800.0000						GNIS+AcmeMapper+GeoLocate	Gordon M. Nishida	2016-04-13	Centroid of polygon formed by contour level	2007-03-20	Rosemary Gillespie	2016-05-04	Gordon M. Nishida					4						PreservedSpecimen								1 female, 2 males					Essig Museum of Entomology						
EMEC1011868	Tetragnatha pilosa		Animalia	Arthropoda	Arachnida		Araneae		Tetragnathidae					Tetragnatha		pilosa			Gillespie, 1991							EMEC		1011868		Miquel A. Arnedo	Gustavo Hormiga	Ingi Agnarsson				2000	5	4								Pacific Ocean	Hawaiian Islands	Kauai	United States	Hawaii	Kauai County	Puu La'au	-159.52500	22.11722	WGS1984				886.0000							GNIS+AcmeMapper+GeoLocate	Gordon M. Nishida	2016-05-18	Variant for Puu Laau, point placed at summit, error is half the distance to nearest summit	2007-03-22	Rosemary Gillespie	2016-05-11	Gordon M. Nishida					22						PreservedSpecimen								Also a T. kauaiensis & Cyclosa sp					Essig Museum of Entomology						
EMEC1011869	Tetragnatha pilosa		Animalia	Arthropoda	Arachnida		Araneae		Tetragnathidae					Tetragnatha		pilosa			Gillespie, 1991							EMEC		1011869		Miquel A. Arnedo	Gustavo Hormiga	Ingi Agnarsson				2000	5	6								Pacific Ocean	Hawaiian Islands	Kauai	United States	Hawaii	Kauai County	Mount Kahili, below radio station	-159.49590	21.97341	WGS1984				318.0000							GNIS+AcmeMapper+GeoLocate	Gordon M. Nishida	2016-05-18	Point placed at building, error is arbitrary	2007-03-22	Rosemary Gillespie	2016-05-06	Gordon M. Nishida					4						PreservedSpecimen								Also a T. kauaiensis & Cyclosa sp					Essig Museum of Entomology						
EMEC1011870	Tetragnatha pilosa		Animalia	Arthropoda	Arachnida		Araneae		Tetragnathidae					Tetragnatha		pilosa			Gillespie, 1991							EMEC		1011870		Miquel A. Arnedo	Gustavo Hormiga	Ingi Agnarsson				2000	4	28								Pacific Ocean	Hawaiian Islands	Kauai	United States	Hawaii	Kauai County	Makaleha Mountains	-159.41278	22.11806	WGS1984				6536.0000							GNIS+AcmeMapper+GeoLocate	Gordon M. Nishida	2016-04-13	Error is approximated extent of named place	2007-03-22	Rosemary Gillespie	2016-05-04	Gordon M. Nishida					7						PreservedSpecimen													Essig Museum of Entomology						
EMEC1011871	Tetragnatha sp.		Animalia	Arthropoda	Arachnida		Araneae		Tetragnathidae					Tetragnatha		sp.										EMEC		1011871		Miquel A. Arnedo	Gustavo Hormiga	Ingi Agnarsson				2000	4	28								Pacific Ocean	Hawaiian Islands	Kauai	United States	Hawaii	Kauai County	Makaleha Mountains	-159.41278	22.11806	WGS1984				6536.0000							GNIS+AcmeMapper+GeoLocate	Gordon M. Nishida	2016-04-13	Error is approximated extent of named place	2007-03-22	Rosemary Gillespie	2016-05-04	Gordon M. Nishida					3						PreservedSpecimen								1 female. Also 2 Misumenops					Essig Museum of Entomology						
EMEC1011879	Tetragnatha sp.		Animalia	Arthropoda	Arachnida		Araneae		Tetragnathidae					Tetragnatha		sp.										EMEC		1011879		Miquel A. Arnedo	Gustavo Hormiga	Ingi Agnarsson				2000	5	9								Pacific Ocean	Hawaiian Islands	Kauai	United States	Hawaii	Kauai County	Waialae Camp	-159.58596	22.08253	WGS1984				65.0000	1100.0000						Google Search+GNIS+AcmeMapper+GeoLocate	Gordon M. Nishida	2016-05-18	Assumed Wai?alae Cabin, error is approximated extent of named place	2007-03-26	Rosemary Gillespie	2016-05-11	Gordon M. Nishida					12						PreservedSpecimen								Elongate forest, 1 females, 3 males. Also Thomisidae, Cyclosa					Essig Museum of Entomology						
EMEC1012614	Rhyncogonus saltus		Animalia	Arthropoda	Insecta		Coleoptera		Curculionidae		Entiminae	Rhyncogonini		Rhyncogonus		saltus										EMEC		1012614		V. Costello						2000	12	1								Pacific Ocean	Hawaiian Islands	Oahu	United States	Hawaii	Honolulu County	Kolekole, Puu Hapapa	-158.10414	21.46761	WGS1984				1316.0000	900.0000						GNIS+AcmeMapper+GeoLocate	Gordon M. Nishida	2016-04-13	Variant for Pu?uhapapa, point placed at summit, error extended to Kolekole Pass; elevation does not quite coincide, summit is at 2877'	2007-10-09	Elin M. Claridge	2016-04-21	Gordon M. Nishida					1						PreservedSpecimen													University of California Berkeley, Gump Research Station						
EMEC1012704	Hololena sp.		Animalia	Arthropoda	Arachnida		Araneae		Agelenidae					Hololena		sp.					J. Spagna					EMEC		1012704		Joseph C. Spagna						2000	5	27				Hololena sp. Claremont CA 5/27/00 J. Spagna				North America			United States	California	Los Angeles County	Claremont	-117.71429	34.12709	WGS1984				5431.0000							GeoLocate	Gordon M. Nishida	2016-08-17	Centroid of polygon of named place	2007-12-18	Hannah Wood	2016-08-12	Gordon M. Nishida				adult	1		1			fluid	PreservedSpecimen													Essig Museum of Entomology					Joe Spagna Molecular Vouchers	
